filename	id_v1	sec1	id_v2	sec2	id_v3	sec3	id_v4	sec4	id_v5	sec5	id_v6	sec6
NY01075765_lg.jpg	102	13	104	28	105	20	107	13	41	10	52	30
NY01075766_lg.jpg	104	37	105	10	107	11	110	18	41	13	52	9
NY01075768_lg.jpg	104	56	105	15	107	8	110	11	41	7	52	8
NY01075775_lg.jpg	102	12	103	28	104	19	105	6	41	8	52	7
NY01075790_lg.jpg	104	12	105	14	107	9	108	11	41	12	52	8
NY01075792_lg.jpg	104	21	105	31	107	13	108	12	41	44	52	8
NY01075806_lg.jpg	104	16	105	11	107	17	115	21	41	10	52	13
NY01075818_lg.jpg	104	13	105	8	107	11	108	10	41	9	52	10
NY01075822_lg.jpg	104	15	105	7	107	11	110	11	41	8	52	9
NY01075827_lg.jpg	104	23	105	19	107	9	108	14	41	12	52	9
NY01075831_lg.jpg	104	23	105	18	107	9	116	9	41	7	52	9
NY01075837_lg.jpg	104	13	105	9	107	10	112	14	41	9	52	26
TENN-L-0000013_lg.jpg	104	19	105	25	107	31	109	49	41	12	52	15
TENN-L-0000019_lg.jpg	104	28	107	10	110	11	113	11	41	13	52	9
TENN-L-0000028_lg.jpg	104	13	105	51	107	10	110	9	41	10	52	9
TENN-L-0000035_lg.jpg	101	70	104	29	105	16	107	12	41	22	52	18
TENN-L-0000047_lg.jpg	102	12	104	14	105	7	107	8	41	11	52	9
TENN-L-0000057_lg.jpg	104	20	105	17	107	14	110	13	41	8	52	14
TENN-L-0000058_lg.jpg	101	9	104	12	104	9	105	11	41	9	52	4
TENN-L-0000061_lg.jpg	104	18	104	17	105	9	108	12	41	17	52	21
TENN-L-0000063_lg.jpg	105	53	107	21	110	7	117	45	41	3	52	80
TENN-L-0000072_lg.jpg	104	16	105	9	107	13	111	17	41	10	52	11
TENN-L-0000084_lg.jpg	104	59	105	29	106	12	107	15	41	10	52	9
TENN-L-0000089_lg.jpg	104	17	105	10	107	13	113	12	41	9	52	11
WIS-L-0011734_lg.jpg	104	18	105	61	107	12	108	8	41	13	52	8
WIS-L-0012025_lg.jpg	102	15	104	14	105	7	107	9	41	6	52	9
WIS-L-0012041_lg.jpg	101	13	104	11	105	15	107	9	41	10	52	8
WIS-L-0012052_lg.jpg	103	10	104	38	105	13	107	13	41	11	52	10
WIS-L-0012056_lg.jpg	101	16	104	15	105	10	107	12	41	9	52	16
WIS-L-0012062_lg.jpg	104	27	105	13	107	10	117	78	41	9	52	8
WIS-L-0012070_lg.jpg	101	40	103	22	104	31	105	24	41	12	52	8
WIS-L-0012071_lg.jpg	104	17	105	12	107	8	112	19	41	13	52	15
WIS-L-0012077_lg.jpg	104	13	105	11	107	10	110	11	41	23	80	27
